Ad,Tarih,YemekTür,Kalori,MenüTür
🌾🥛SEBZE EZME ÇORBA,2025-08-04,soup,200 KKAL,GÜNÜN MENÜSÜ
🌾HAMBURGER,2025-08-04,mainDish,411 KKAL,GÜNÜN MENÜSÜ
PATATES -SOĞAN HALKASI,2025-08-04,mainDish,264 KKAL,GÜNÜN MENÜSÜ
MEYVE,2025-08-04,extra,50 KKAL,GÜNÜN MENÜSÜ
🥛SÜTLAÇ,2025-08-04,mainDish,310 KKAL,GÜNÜN MENÜSÜ
🌾🥛SEBZE EZME ÇORBA,2025-08-04,soup,200 KKAL,VEJETARYEN MENÜ
VEJ. MENEMEN,2025-08-04,mainDish,210 KKAL,VEJETARYEN MENÜ
PATATES -SOĞAN HALKASI,2025-08-04,mainDish,264 KKAL,VEJETARYEN MENÜ
MEYVE,2025-08-04,extra,50 KKAL,VEJETARYEN MENÜ
🥛SÜTLAÇ,2025-08-04,mainDish,310 KKAL,VEJETARYEN MENÜ
🥛BUĞDAY UNSUZ SEBZE ÇORBA,2025-08-04,soup,200 KKAL,SALATA BÜFESİ
🌾🥛KAFKAS ÇORBA,2025-08-05,soup,119 KKAL,GÜNÜN MENÜSÜ
🌾🥛CORDON BLEU- PATATES,2025-08-05,mainDish,424 KKAL,GÜNÜN MENÜSÜ
🌾MAKARNA-KETÇAP,2025-08-05,extra,238 KKAL,GÜNÜN MENÜSÜ
🥛AYRAN,2025-08-05,drink,44 KKAL,GÜNÜN MENÜSÜ
MEYVE,2025-08-05,extra,50 KKAL,GÜNÜN MENÜSÜ
🌾🥛TRİLEÇE,2025-08-05,mainDish,340 KKAL,GÜNÜN MENÜSÜ
🌾🥛KAFKAS ÇORBA,2025-08-05,soup,119 KKAL,VEJETARYEN MENÜ
VEJ. MEVSİM TÜRLÜ,2025-08-05,mainDish,224 KKAL,VEJETARYEN MENÜ
🌾MAKARNA-KETÇAP,2025-08-05,extra,238 KKAL,VEJETARYEN MENÜ
🥛AYRAN,2025-08-05,drink,44 KKAL,VEJETARYEN MENÜ
